date,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H
2016-04-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-05-31,100.08,100.18,102.16,100.22,100.55,103.97,103.74,104.24,101.45,89.92
2016-06-30,100.17,100.81,101.44,102.28,101.91,101.65,98.24,103.45,100.39,111.74
2016-07-31,100.25,101.26,102.88,104.34,104.47,104.63,102.75,109.98,102.73,118.84
2016-08-31,100.35,101.61,105.04,105.68,104.2,106.2,105.17,114.75,103.17,100.0
2016-09-30,100.45,101.61,105.04,106.51,106.16,106.29,106.05,117.6,102.67,104.3
2016-10-31,100.54,101.88,105.04,106.07,104.8,105.62,107.37,116.47,98.69,101.49
2016-11-30,100.61,101.43,104.32,105.29,108.07,112.82,112.43,115.31,98.36,79.34
2016-12-31,100.68,101.61,105.11,107.96,107.26,118.2,116.61,115.02,103.0,82.98
2017-01-31,100.75,101.79,104.75,109.74,113.09,116.46,117.27,120.02,101.67,93.39
2017-02-28,100.81,102.06,104.82,111.25,114.29,122.0,122.0,122.61,103.56,89.59
2017-03-31,100.89,102.78,104.82,111.36,118.33,119.02,119.69,127.24,100.92,91.9
2017-04-30,100.96,102.96,106.26,112.75,119.64,120.6,122.66,133.94,102.97,87.6
2017-05-31,101.04,103.32,106.83,113.2,121.88,121.84,125.19,137.03,101.79,90.41
2017-06-30,101.13,103.5,106.98,112.86,120.35,121.51,124.31,140.48,101.98,86.61
2017-07-31,101.19,103.59,107.91,114.14,123.62,121.59,125.41,145.6,102.25,87.93
2017-08-31,101.28,103.86,108.27,114.37,122.59,120.43,125.85,148.61,101.85,94.05
2017-09-30,101.36,103.95,108.27,114.7,125.64,124.81,129.37,150.69,101.32,88.43
2017-10-31,101.43,104.22,108.56,114.59,134.32,127.3,133.0,159.4,101.33,85.95
2017-11-30,101.54,103.95,107.91,114.48,132.3,129.2,132.45,155.81,103.33,84.46
2017-12-31,101.64,104.04,106.83,115.2,132.62,130.02,133.88,159.89,103.61,89.59
2018-01-31,101.72,103.95,106.12,116.2,138.73,134.24,138.17,164.83,102.57,87.6
2018-02-28,101.8,103.95,105.68,114.64,137.64,129.11,133.66,159.7,97.03,77.19
2018-03-31,101.88,103.95,104.82,114.37,135.35,123.16,131.02,154.02,98.04,79.34
2018-04-30,101.97,103.77,104.96,113.7,135.68,128.12,132.67,157.16,103.2,79.34
2018-05-31,102.06,103.68,104.46,112.69,132.52,131.68,134.1,160.24,104.09,78.68
2018-06-30,102.15,103.68,106.19,112.03,123.46,135.98,134.98,156.16,106.31,77.52
2018-07-31,102.26,104.13,106.47,113.31,126.13,139.37,140.04,156.46,106.08,75.21
2018-08-31,102.38,104.39,107.41,112.08,123.79,145.16,143.01,152.57,107.36,66.12
2018-09-30,102.46,104.39,107.12,113.08,127.66,145.99,144.22,150.97,105.78,66.61
2018-10-31,102.58,104.04,106.47,111.02,118.6,137.55,133.22,135.34,100.54,68.93
2018-11-30,102.72,103.95,105.47,109.86,122.04,139.29,133.22,144.52,101.71,66.61
2018-12-31,102.85,104.48,105.97,107.68,116.26,125.31,120.57,134.4,93.77,72.23
2019-01-31,102.98,105.74,107.34,112.14,121.93,133.58,130.69,145.58,103.62,77.85
2019-02-28,103.11,106.37,108.13,113.08,123.3,138.79,134.43,152.11,104.8,76.2
2019-03-31,103.25,107.09,110.22,113.81,124.39,142.1,136.19,158.9,107.97,77.52
2019-04-30,103.4,106.73,111.8,114.87,128.37,145.49,140.92,162.6,109.08,70.58
2019-05-31,103.54,107.26,113.09,114.09,120.51,137.72,133.11,148.93,108.3,76.86
2019-06-30,103.65,107.8,115.47,116.93,129.41,147.31,141.03,158.24,109.24,86.12
2019-07-31,103.81,107.44,118.13,117.43,126.68,148.72,144.44,155.47,110.21,88.1
2019-08-31,103.94,107.89,121.58,117.2,121.88,148.39,140.59,150.15,114.76,98.35
