portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,iteration
Optimal Portfolio no_short,0.15479931122242313,0.019873245502945724,0.14097249910158266,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.0,,Infinity US 500 Stock Index SGD (100.00%),N/A,True,0.4750000000000001,0.11836502780035597,-0.22145571837485367,3.6704063420249885e-17,0.0,0.0,0.0,1.626123462926603e-16,1.0,0.0,1.3831096719734626e-16,0.0,0.0,1
Optimal Portfolio no_short,0.17688892160322864,0.016411361767568418,0.12810683731779665,1.0,1.0,1.0,0.0,,Fidelity World A-ACC-SGD (80.29%); Amova Singapore Equity SGD (formerly Nikko AM) (11.66%); Blackrock World Gold Fund A2 SGD-H (8.04%),N/A,True,1.4326285823069713,0.1468014250293532,-0.1453376469186458,0.0,0.0,5.0345934335741646e-17,1.494346434805989e-18,0.11663764504848398,1.3389730198338804e-17,0.8029350905781788,0.0,1.7453905818698843e-17,0.08042726437333722,2
Optimal Portfolio no_short,0.1723174343967554,0.013008264592379064,0.11405377938665191,1.0,1.0,1.0,0.0,,Amova Singapore Equity SGD (formerly Nikko AM) (80.93%); Blackrock World Gold Fund A2 SGD-H (19.07%),N/A,True,0.9407485469058532,0.14846894931072713,-0.09980010860239974,3.291406376790672e-18,1.2242373192390976e-17,0.0,1.819402890152997e-17,0.8092514530941466,2.57844159436526e-17,1.8478549528709302e-16,0.0,0.0,0.19074854690585322,3
Optimal Portfolio no_short,0.23220283099706668,0.01690663196082069,0.13002550503966784,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Amova Singapore Equity SGD (formerly Nikko AM) (69.51%); Blackrock World Gold Fund A2 SGD-H (30.49%),N/A,True,1.0548651401831162,0.20120733906889543,-0.14302571273815945,0.0,1.903299595760236e-16,3.226004972819475e-17,0.0,0.6951348598168838,0.0,0.0,0.0,1.1943608603781359e-17,0.30486514018311617,4
Optimal Portfolio no_short,0.13008496184404494,0.015990185063596143,0.12645230351241588,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Amova Singapore Equity SGD (formerly Nikko AM) (55.77%); Blackrock World Gold Fund A2 SGD-H (22.64%); Infinity US 500 Stock Index SGD (21.59%),N/A,True,0.9169649839645793,0.10076962256078535,-0.23905983699646727,0.0,4.858518208634859e-17,9.127350106245112e-19,5.965818167835051e-18,0.5576996770151761,0.21594928550607448,0.0,0.0,0.0,0.22635103747874968,5
Optimal Portfolio no_short,0.1511380600391401,0.010795991815550767,0.10390376227813297,1.0,1.0,1.0,0.0,,Amova Singapore Equity SGD (formerly Nikko AM) (100.00%),N/A,True,0.7500000000000002,0.13134540837729702,-0.20524155546126277,0.0,0.0,9.895920907405382e-17,0.0,1.0,4.85722573273506e-17,0.0,0.0,6.305790991071182e-17,0.0,6
Optimal Portfolio no_short,0.1672204641601781,0.01665850356025784,0.129067825426238,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Amova Singapore Equity SGD (formerly Nikko AM) (98.36%); Infinity US 500 Stock Index SGD (1.64%),N/A,True,0.7454966611877861,0.1366798742997054,-0.2505061292060786,0.0,0.0,8.124566354383636e-17,0.0,0.9836242225010402,0.016375777498959923,0.0,0.0,2.1376224748313013e-17,3.826949005150682e-17,7
Optimal Portfolio no_short,0.17469593303943523,0.014169663226530467,0.11903639454608186,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Amova Singapore Equity SGD (formerly Nikko AM) (100.00%),N/A,True,0.75,0.1487182171241294,-0.08399349512664944,4.772539246346453e-17,2.2251175063539368e-17,2.1503569392836524e-17,7.767787458993123e-18,1.0,1.5612511283791264e-17,0.0,1.2863659808502815e-16,0.0,6.845039511079203e-18,8
Optimal Portfolio no_short,0.16066008995139863,0.020246354029404896,0.14228968349604582,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (96.31%); Blackrock World Gold Fund A2 SGD-H (3.69%),N/A,True,0.5220329202131024,0.12354177423082299,-0.21612078852666494,1.5359896425023067e-17,1.4704174460331094e-17,0.0,0.0,3.5554262598466257e-16,0.9631114351269782,1.8985278822977123e-17,0.0,1.3994637506368037e-17,0.03688856487302149,9
Optimal Portfolio no_short,0.1016227260803799,0.02266681444349104,0.15055502131609905,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.0,,Blackrock World Gold Fund A2 SGD-H (35.10%); Infinity US 500 Stock Index SGD (28.41%); Amova Singapore Equity SGD (formerly Nikko AM) (19.63%),N/A,True,0.9519970201252907,0.06006689960064633,-0.24594877777116786,0.0,0.16865031046014078,0.0,0.0,0.19625144663435637,0.28413183716623786,1.3325764292611956e-18,1.9695826709684513e-17,6.902484271995136e-19,0.35096640573926535,10
