,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H
LionGlobal SGD Money Market A Acc SGD,1.0,0.26003635555730514,0.07574251436116142,0.005424748181771267,0.001712494686090122,-0.009777565149171831,-0.012522830273048215,-0.06706110217110806,-0.059088682353701294,0.06683510892810667
United SGD Fund B Acc SGD,0.26003635555730514,1.0,0.6040348578036411,0.6334305858043917,0.3842838930812703,0.2950604352774154,0.34504596282510425,0.4971235399608622,0.36824419935414054,0.37177672324719996
United High Grade Corporate Bond A Acc SGD,0.07574251436116142,0.6040348578036411,1.0,0.599105264925336,0.28142303754942954,0.5187724922083186,0.5115978698241448,0.3897255709659973,0.4820163627202476,0.2955023147252933
AB FCP I Global High Yield A2 SGD-H,0.005424748181771267,0.6334305858043917,0.599105264925336,1.0,0.7072816786251309,0.6913798961376412,0.7592694895432349,0.5881483516741983,0.6869350101099999,0.3628404386798317
Amova Singapore Equity SGD (formerly Nikko AM),0.001712494686090122,0.3842838930812703,0.28142303754942954,0.7072816786251309,1.0,0.6124143095856466,0.6652748162530053,0.645919623791102,0.5076055147131171,0.2611080504214787
Infinity US 500 Stock Index SGD,-0.009777565149171831,0.2950604352774154,0.5187724922083186,0.6913798961376412,0.6124143095856466,1.0,0.9198104234828135,0.549883456367397,0.7009600574465435,0.17927535171629763
Fidelity World A-ACC-SGD,-0.012522830273048215,0.34504596282510425,0.5115978698241448,0.7592694895432349,0.6652748162530053,0.9198104234828135,1.0,0.6098715169695724,0.7323501225371423,0.1934452921771593
Schroder ISF Asian Opportunities A Acc SGD,-0.06706110217110806,0.4971235399608622,0.3897255709659973,0.5881483516741983,0.645919623791102,0.549883456367397,0.6098715169695724,1.0,0.46950503022700485,0.2849656833536285
First Sentier Global Property Securities A Acc SGD,-0.059088682353701294,0.36824419935414054,0.4820163627202476,0.6869350101099999,0.5076055147131171,0.7009600574465435,0.7323501225371423,0.46950503022700485,1.0,0.32948300620379695
Blackrock World Gold Fund A2 SGD-H,0.06683510892810667,0.37177672324719996,0.2955023147252933,0.3628404386798317,0.2611080504214787,0.17927535171629763,0.1934452921771593,0.2849656833536285,0.32948300620379695,1.0
