,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H
LionGlobal SGD Money Market A Acc SGD,9.316499337604319e-06,1.078222503993245e-05,1.1481532888698677e-05,1.4990216962790765e-06,6.910080566328591e-07,-4.253836441931877e-06,-5.28058379319018e-06,-3.099118810107496e-05,-2.4513724749187104e-05,6.792619672471448e-05
United SGD Fund B Acc SGD,1.078222503993245e-05,0.00018454228127387138,0.0004075151150983061,0.0007790205773127344,0.0006901247835853482,0.0005713241887075292,0.0006475569340104845,0.0010224767262549475,0.0006799272984578232,0.0016816530428749076
United High Grade Corporate Bond A Acc SGD,1.1481532888698677e-05,0.0004075151150983061,0.002466422962680585,0.0026936357710905167,0.001847655178348354,0.0036722683323403968,0.0035100683255588376,0.0029304467889768133,0.0032536750709006614,0.004886533993601856
AB FCP I Global High Yield A2 SGD-H,1.4990216962790765e-06,0.0007790205773127344,0.0026936357710905167,0.008196037072529057,0.0084649006455919,0.008921592742491533,0.009496224450158974,0.008061762536828753,0.008452715059947524,0.010937646928313057
Amova Singapore Equity SGD (formerly Nikko AM),6.910080566328591e-07,0.0006901247835853482,0.001847655178348354,0.0084649006455919,0.01747652165297897,0.011539753178046688,0.012150150255465206,0.012928470213320054,0.009120789915306737,0.011493545553328871
Infinity US 500 Stock Index SGD,-4.253836441931877e-06,0.0005713241887075292,0.0036722683323403968,0.008921592742491533,0.011539753178046688,0.020316429277730398,0.018112361703387272,0.011866851413504511,0.013579869074326335,0.008508451609423668
Fidelity World A-ACC-SGD,-5.28058379319018e-06,0.0006475569340104845,0.0035100683255588376,0.009496224450158974,0.012150150255465206,0.018112361703387272,0.019085613757733075,0.012756530639325341,0.01375151177214344,0.008898514036630523
Schroder ISF Asian Opportunities A Acc SGD,-3.099118810107496e-05,0.0010224767262549475,0.0029304467889768133,0.008061762536828753,0.012928470213320054,0.011866851413504511,0.012756530639325341,0.02292357355460334,0.009661844221442173,0.014366136341481069
First Sentier Global Property Securities A Acc SGD,-2.4513724749187104e-05,0.0006799272984578232,0.0032536750709006614,0.008452715059947524,0.009120789915306737,0.013579869074326335,0.01375151177214344,0.009661844221442173,0.01847384273230641,0.014911382152724598
Blackrock World Gold Fund A2 SGD-H,6.792619672471448e-05,0.0016816530428749076,0.004886533993601856,0.010937646928313057,0.011493545553328871,0.008508451609423668,0.008898514036630523,0.014366136341481069,0.014911382152724598,0.11086960986234382
