portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return bounded_short,0.018205143319336634,0.0002893327960063698,0.017009785301595366,1.0,1.1176819099756419,1.235363819951284,0.11768190997564197,0.018205143319349817,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.61%),AB FCP I Global High Yield A2 SGD-H (-4.23%); Fidelity World A-ACC-SGD (-3.05%); Schroder ISF Asian Opportunities A Acc SGD (-1.93%),False,0.4839338061938712,,-0.05690033260333882,0.35,0.35,0.3460584735036858,-0.0423342652439149,0.06186383026977963,-0.014177314857724343,-0.030495658466297846,-0.01928901469518721,0.009759606202176484,-0.011385656712517681,bounded_short
Target Return bounded_short,0.01988742601007057,0.0002908260883325473,0.017053623906154003,1.0000000000000002,1.1159437573402398,1.2318875146804797,0.11594375734024001,0.01988742601003393,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.52%),AB FCP I Global High Yield A2 SGD-H (-5.23%); Fidelity World A-ACC-SGD (-2.90%); Schroder ISF Asian Opportunities A Acc SGD (-1.94%),False,0.4791164904827022,,-0.05508443664300389,0.35,0.35,0.3451645933256956,-0.05229072011138797,0.06751115211924939,-0.005487214666886987,-0.029038838400957296,-0.01940573480272,0.003268011895294943,-0.009721249358287755,bounded_short
Target Return bounded_short,0.021569708700660384,0.0002952665072225845,0.017183320611063056,1.0,1.1206258001995237,1.241251600399048,0.12062580019952399,0.02156970870071805,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.43%),AB FCP I Global High Yield A2 SGD-H (-6.23%); Fidelity World A-ACC-SGD (-2.76%); Schroder ISF Asian Opportunities A Acc SGD (-1.95%),False,0.477236594278921,,-0.05326855302096811,0.35,0.35,0.34427428456277515,-0.062253266731411176,0.07315361007503837,0.003197905561710392,-0.02757116516295149,-0.019522848446490628,-0.0032230103376547957,-0.0080555095210159,bounded_short
Target Return bounded_short,0.023251991391438617,0.0003019765367827561,0.01737747210565323,0.9999999999999999,1.1234840122479828,1.2469680244959658,0.12348401224798272,0.023251991391402164,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.69%),AB FCP I Global High Yield A2 SGD-H (-7.73%); Schroder ISF Asian Opportunities A Acc SGD (-1.89%); First Sentier Global Property Securities A Acc SGD (-1.22%),False,0.47870847030276603,,-0.0528947544669659,0.35,0.35,0.34687367508505096,-0.07725882605273221,0.07611804615422713,0.0004922910087047494,-0.009114836451124934,-0.018917184507869826,-0.01216190554729359,-0.006031259688962165,bounded_short
Target Return bounded_short,0.024934274082018613,0.00031228772620148405,0.01767166450002614,1.0,1.1368584299375655,1.2737168598751312,0.1368584299375656,0.02493427408208628,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.61%),AB FCP I Global High Yield A2 SGD-H (-8.75%); Schroder ISF Asian Opportunities A Acc SGD (-1.90%); First Sentier Global Property Securities A Acc SGD (-1.86%),False,0.47981140929487176,,-0.051116780511795024,0.35,0.35,0.34613890246313117,-0.08747762879042426,0.08172635605904457,0.008993171415389823,-0.007378665176087234,-0.018995658370022855,-0.018646380393269674,-0.00436009720776159,bounded_short
Target Return bounded_short,0.026616556772686314,0.0003255462620500321,0.01804290059968275,1.0,1.1502346902082592,1.3004693804165184,0.15023469020825916,0.026616556772770396,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.54%),AB FCP I Global High Yield A2 SGD-H (-9.77%); First Sentier Global Property Securities A Acc SGD (-2.51%); Schroder ISF Asian Opportunities A Acc SGD (-1.91%),False,0.48088885223765826,,-0.0493369279647361,0.35,0.35,0.34540425154650833,-0.09769579982537768,0.08733520136963566,0.017495237292115332,-0.005644289090474807,-0.01907442473302486,-0.025131155417861015,-0.0026890211415208113,bounded_short
Target Return bounded_short,0.028298839463480614,0.000341752146034121,0.018486539590581063,1.0,1.1636120302639366,1.3272240605278731,0.16361203026393645,0.02829883946345451,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.47%),AB FCP I Global High Yield A2 SGD-H (-10.79%); First Sentier Global Property Securities A Acc SGD (-3.16%); Schroder ISF Asian Opportunities A Acc SGD (-1.92%),False,0.48194157225019835,,-0.04755532051195521,0.35,0.35,0.3446696613609721,-0.1079135314847555,0.09294420740713145,0.025998161495833044,-0.003911029137221841,-0.019153381298410446,-0.03161611290983638,-0.0010179754337122772,bounded_short
Target Return bounded_short,0.02998112215419916,0.00036090537044207655,0.018997509585260815,1.0,1.1776482775398829,1.3552965550797662,0.177648277539883,0.029981122154138628,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.39%),AB FCP I Global High Yield A2 SGD-H (-11.81%); First Sentier Global Property Securities A Acc SGD (-3.81%); Schroder ISF Asian Opportunities A Acc SGD (-1.92%),False,0.4836731569316267,,-0.04577120068719043,0.35,0.35,0.3439353671284605,-0.11812942958370584,0.09855540832453208,0.03450479878072022,-0.002183777769546636,-0.019233270780901413,-0.0381017994057291,0.0006527033061703331,bounded_short
Target Return bounded_short,0.03166340484492873,0.0003830062590981153,0.019570545702614305,0.9999999999999998,1.1929726808768233,1.385945361753647,0.1929726808768236,0.031663404844822746,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (34.34%),AB FCP I Global High Yield A2 SGD-H (-12.86%); First Sentier Global Property Securities A Acc SGD (-4.46%); Schroder ISF Asian Opportunities A Acc SGD (-1.93%),False,0.48651773498508605,,-0.043991650298899065,0.35,0.35,0.3434471245114262,-0.12859393800512062,0.10422010642468711,0.04298427468597739,-0.00041293090859381926,-0.01934272434971259,-0.04462308761339657,0.00232117525473273,bounded_short
Target Return bounded_short,0.03334568753560522,0.0004082740060392299,0.02020579139848845,1.0,1.2,1.3999999999999997,0.19999999999999984,0.03334568753550686,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (33.62%),AB FCP I Global High Yield A2 SGD-H (-13.14%); First Sentier Global Property Securities A Acc SGD (-5.12%); Schroder ISF Asian Opportunities A Acc SGD (-1.74%),False,0.4869933871024998,,-0.04212614632193401,0.35,0.35,0.33620684992705513,-0.13138715798355347,0.10745206304483067,0.05234910152838912,5.7042211084173944e-05,-0.017424588129594402,-0.051188253886851984,0.003934943288640909,bounded_short
