fund_name,annualized_mean_return
LionGlobal SGD Money Market A Acc SGD,0.017261490290853276
United SGD Fund B Acc SGD,0.023675881360548656
United High Grade Corporate Bond A Acc SGD,0.019013037867167803
AB FCP I Global High Yield A2 SGD-H,0.03240797237740871
Amova Singapore Equity SGD (formerly Nikko AM),0.11398878566461541
Infinity US 500 Stock Index SGD,0.12755499218716207
Fidelity World A-ACC-SGD,0.10484057594405674
Schroder ISF Asian Opportunities A Acc SGD,0.09365318792186086
First Sentier Global Property Securities A Acc SGD,0.020061781168685434
Blackrock World Gold Fund A2 SGD-H,0.1551181927517964
