fund_name,sleeve,annualized_mean_return,annualized_volatility,corr_with_infinity_us_500,corr_with_fidelity_world,corr_with_blackrock_gold,weight_optimal_no_short,weight_optimal_bounded_short,role_tag
LionGlobal SGD Money Market A Acc SGD,money market/cash,0.017261490290853276,0.0030522941106001433,-0.009777565149171831,-0.012522830273048215,0.06683510892810667,0.0,9.088301419031952e-11,cash anchor / GMVP magnet
United SGD Fund B Acc SGD,short-duration bond,0.023675881360548656,0.01358463401324715,0.2950604352774154,0.34504596282510425,0.37177672324719996,0.0,2.0665251484341045e-09,long-only ballast
United High Grade Corporate Bond A Acc SGD,global investment-grade bond,0.019013037867167803,0.04966309457414615,0.5187724922083186,0.5115978698241448,0.2955023147252933,0.0,1.1292058335526484e-09,diversifying credit ballast
AB FCP I Global High Yield A2 SGD-H,higher-yield bond,0.03240797237740871,0.09053196713056144,0.6913798961376412,0.7592694895432349,0.3628404386798317,0.0,-1.1123388374022106e-08,credit beta sleeve
Amova Singapore Equity SGD (formerly Nikko AM),singapore equity,0.11398878566461541,0.13219879595888523,0.6124143095856466,0.6652748162530053,0.2611080504214787,0.22817099429032553,0.35,regional equity growth engine
Infinity US 500 Stock Index SGD,u.s. equity,0.12755499218716207,0.14253571228899234,1.0,0.9198104234828135,0.17927535171629763,0.6260363515389885,0.35,global growth engine
Fidelity World A-ACC-SGD,global developed equity,0.10484057594405674,0.13815069220866422,0.9198104234828135,1.0,0.1934452921771593,0.0,0.29827711396268697,broad equity proxy / crowded sleeve
Schroder ISF Asian Opportunities A Acc SGD,asia ex-japan equity,0.09365318792186086,0.15140532868628945,0.549883456367397,0.6098715169695724,0.2849656833536285,0.0,-7.536347767812907e-11,regional equity diversifier
First Sentier Global Property Securities A Acc SGD,global REIT,0.020061781168685434,0.1359185150459878,0.7009600574465435,0.7323501225371423,0.32948300620379695,1.3387006050193167e-16,-0.199999984558994,listed property beta / short candidate
Blackrock World Gold Fund A2 SGD-H,gold/real-asset hedge,0.1551181927517964,0.33297088440634537,0.17927535171629763,0.1934452921771593,1.0,0.14579265417068657,0.20172287850844509,inflation hedge / diversifier
