fund_name,first_available_date,last_available_date,original_observations,missing_count,usable_after_alignment,common_window_start,common_window_end
LionGlobal SGD Money Market A Acc SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
United SGD Fund B Acc SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
United High Grade Corporate Bond A Acc SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
AB FCP I Global High Yield A2 SGD-H,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
Amova Singapore Equity SGD (formerly Nikko AM),2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
Infinity US 500 Stock Index SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
Fidelity World A-ACC-SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
Schroder ISF Asian Opportunities A Acc SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
First Sentier Global Property Securities A Acc SGD,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
Blackrock World Gold Fund A2 SGD-H,2016-04-30,2026-03-31,120,0,120,2016-04-30,2026-03-31
