portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,window_start,window_end
Optimal Portfolio no_short,0.17196763939188262,0.017967487183866912,0.13404285577331942,1.0,1.0,1.0,0.0,,Schroder ISF Asian Opportunities A Acc SGD (100.00%),N/A,True,1.4999999999999998,0.13902724622145995,-0.18461445125280584,0.0,5.3597926536469367e-17,0.0,0.0,1.315010219487359e-17,2.220446049250313e-16,3.622671241210514e-17,0.9999999999999998,0.0,4.065845582523105e-17,2016-05-31,2019-04-30
Optimal Portfolio no_short,0.12496220632784688,0.017765327060425194,0.1332866349654953,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Schroder ISF Asian Opportunities A Acc SGD (82.73%); Infinity US 500 Stock Index SGD (17.27%),N/A,True,1.3229586585265691,0.0923924400504007,-0.16441224819527722,1.7554167342883506e-17,7.74451898799439e-18,1.2910290675299686e-18,0.0,0.0,0.17272325997407895,0.0,0.8272767400259212,0.0,3.953852802596287e-18,2016-06-30,2019-05-31
Optimal Portfolio no_short,0.14696794239098354,0.016875420325304036,0.12990542839044117,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Schroder ISF Asian Opportunities A Acc SGD (70.14%); Infinity US 500 Stock Index SGD (29.86%),N/A,True,1.1939269498756753,0.11602967179459281,-0.1496261268697312,1.2068490048232438e-17,3.420130827947642e-17,0.0,0.0,0.0,0.29860785377982924,2.754292766369196e-17,0.701392146220171,0.0,0.0,2016-07-31,2019-06-30
Optimal Portfolio no_short,0.12598164010207957,0.014503550275812023,0.12043068660358963,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (64.67%); Schroder ISF Asian Opportunities A Acc SGD (35.33%),N/A,True,0.83717926844052,0.09939179792975754,-0.12988725716413219,1.995415115929336e-17,5.891388238379729e-18,0.0,0.0,0.0,0.646654372253151,1.47498968868564e-17,0.3533456277468489,9.155994534910799e-18,2.3033782342725206e-17,2016-08-31,2019-07-31
Optimal Portfolio no_short,0.11929823985111693,0.015916073910472315,0.1261589232296801,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (99.19%); Blackrock World Gold Fund A2 SGD-H (0.81%),N/A,True,0.48539099919061623,0.09011877101525102,-0.1398487603468166,0.0,0.0,0.0,3.3623883120577666e-17,0.0,0.9918501967132421,2.729724223219147e-18,1.83936438761828e-18,0.0,0.008149803286757809,2016-09-30,2019-08-31
Optimal Portfolio no_short,0.1227497783901657,0.016313056960734935,0.12772257811653714,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (100.00%),N/A,True,0.475,0.09284250729548499,-0.14165353791355595,0.0,2.0421296462884452e-17,3.074061703116385e-18,8.075007470076736e-18,0.0,1.0,0.0,4.509585376442836e-18,0.0,0.0,2016-10-31,2019-09-30
Optimal Portfolio no_short,0.13184224242591802,0.016251840618122584,0.12748270713364454,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (100.00%),N/A,True,0.475,0.10204720129269329,-0.14165353791355584,0.0,2.0421296462884452e-17,3.074061703116385e-18,8.075007470076736e-18,0.0,1.0,0.0,4.509585376442836e-18,0.0,0.0,2016-11-30,2019-10-31
Optimal Portfolio no_short,0.1144129115228348,0.01287254550791263,0.11345724087916394,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (73.25%); Schroder ISF Asian Opportunities A Acc SGD (22.89%); Blackrock World Gold Fund A2 SGD-H (3.87%),N/A,True,0.7588781377488264,0.0908132447583283,-0.12531811588507946,0.0,0.0,2.019523800222217e-17,0.0,4.02569828598258e-18,0.7324761919416403,8.547339951096412e-18,0.2288588701023299,0.0,0.038664937956029925,2016-12-31,2019-11-30
Optimal Portfolio no_short,0.12952761757472372,0.01685210286212458,0.1298156495270296,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Schroder ISF Asian Opportunities A Acc SGD (75.01%); Infinity US 500 Stock Index SGD (20.33%); Blackrock World Gold Fund A2 SGD-H (4.66%),N/A,True,1.303297300440262,0.09863209566082867,-0.15886408706700605,6.428528079669252e-18,0.0,6.751319493419844e-18,0.0,6.019130537087086e-18,0.20327632782038627,0.0,0.7501015263549817,0.0,0.04662214582463213,2017-01-31,2019-12-31
Optimal Portfolio no_short,0.12090297948146961,0.014626890920247427,0.12094168396482424,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Infinity US 500 Stock Index SGD (100.00%),N/A,True,0.4750000000000001,0.09408701279434933,-0.14165353791355595,0.0,1.553992073284972e-17,0.0,1.311966246294807e-18,1.5143722995228057e-17,1.0,0.0,1.3877787807814457e-16,5.177999460932937e-19,0.0,2017-02-28,2020-01-31
Optimal Portfolio no_short,0.08494796465513309,0.0073682126403489204,0.08583829355450236,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (43.39%); United High Grade Corporate Bond A Acc SGD (30.83%); Schroder ISF Asian Opportunities A Acc SGD (25.78%),N/A,True,0.8394172121848803,0.0714395748144934,-0.09365431444934347,0.0,0.0,0.3083249334201897,0.0,1.9220063639982323e-18,0.4339076433375484,0.0,0.25776742324226204,0.0,2.0333143849507053e-17,2017-03-31,2020-02-29
Optimal Portfolio no_short,0.0418315331353009,0.0026355482941178322,0.05133759143276818,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.0,,United High Grade Corporate Bond A Acc SGD (100.00%),N/A,True,0.7999999999999997,0.036999694596084876,-0.05561761889562722,2.6152173657651894e-17,4.441481778348652e-16,0.9999999999999996,1.7859014601322802e-17,0.0,3.7456069650508014e-16,0.0,0.0,0.0,1.3758344526753742e-17,2017-04-30,2020-03-31
Optimal Portfolio no_short,0.06572004113619663,0.009162011035313698,0.09571839444596685,1.0,1.0,1.0,0.0,,United High Grade Corporate Bond A Acc SGD (61.71%); Infinity US 500 Stock Index SGD (26.85%); Blackrock World Gold Fund A2 SGD-H (11.45%),N/A,True,0.8214967484361517,0.048923020904788186,-0.102839985606199,1.3744846732132855e-17,0.0,0.6170601888542379,4.7095199028097793e-17,3.366578880914022e-17,0.2684675075704488,7.364033298899532e-18,0.0,8.406333214014313e-18,0.11447230357531321,2017-05-31,2020-04-30
Optimal Portfolio no_short,0.08288299250520621,0.013317191689090237,0.11540013730100254,1.0,1.0,1.0,0.0,,United High Grade Corporate Bond A Acc SGD (46.54%); Infinity US 500 Stock Index SGD (41.96%); Blackrock World Gold Fund A2 SGD-H (11.50%),N/A,True,0.7728760534831753,0.05846814107520745,-0.12704746502457565,0.0,0.0,0.46538691047063047,6.698660881373046e-18,5.145026612306659e-17,0.419612848289981,0.0,1.2068690587247785e-18,4.505467240395183e-18,0.11500024123938853,2017-06-30,2020-05-31
Optimal Portfolio no_short,0.09523295710387542,0.015806541637516748,0.12572406944382905,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United High Grade Corporate Bond A Acc SGD (43.04%); Infinity US 500 Stock Index SGD (38.07%); Blackrock World Gold Fund A2 SGD-H (18.89%),N/A,True,0.8557226001507565,0.06625429743509471,-0.13202343722370757,4.549522893049261e-18,3.4320628671220886e-17,0.4303786289621613,3.699200490449496e-17,0.0,0.38071976653740397,1.0355320885238607e-17,5.684273771801211e-18,6.771372977849527e-18,0.18890160450043472,2017-07-31,2020-06-30
